text,label
Introducing Our New Shoes Line,Non-Promotion
New Arrivals in Electronics,Non-Promotion
Latest in Laptops Just for You,Non-Promotion
57% Discount on Shoes,Promotion
Introducing Our New Books Line,Non-Promotion
Save Big: Up to 89% Off on Laptops,Promotion
Flash Sale: 17% Off on Fashion,Promotion
Special Offer: Buy 28 and Get Toys Free,Promotion
Top Picks in Home Decor for You,Non-Promotion
Latest in Shoes Just for You,Non-Promotion
Explore the Latest Books Collection,Non-Promotion
Exclusive Deal: 64% Off on Toys,Promotion
Explore the Latest Fashion Collection,Non-Promotion
Shoes Now Available Online,Non-Promotion
Flat 80% Off on Mobiles,Promotion
Deal of the Day: 69% Off on Toys,Promotion
Explore the Latest Electronics Collection,Non-Promotion
Deal of the Day: 13% Off on Fashion,Promotion
Explore the Latest Fashion Collection,Non-Promotion
Deal of the Day: 79% Off on Mobiles,Promotion
Fresh Styles in Mobiles,Non-Promotion
Explore the Latest Beauty Products Collection,Non-Promotion
Flash Sale: 28% Off on Beauty Products,Promotion
Deal of the Day: 32% Off on Mobiles,Promotion
Introducing Our New Books Line,Non-Promotion
Exclusive Deal: 10% Off on Toys,Promotion
New Arrivals in Home Decor,Non-Promotion
Buy 1 Get 1 Free on 27,Promotion
52% Discount on Appliances,Promotion
Flat 85% Off on Laptops,Promotion
Shoes Trends You’ll Love,Non-Promotion
Mega Sale: 86% Off,Promotion
Limited Time Offer: Save 14% on Appliances,Promotion
Flat 59% Off on Laptops,Promotion
Introducing Our New Laptops Line,Non-Promotion
Flash Sale: 62% Off on Furniture,Promotion
Browse Our Electronics Catalog,Non-Promotion
Limited Time Offer: Save 44% on Appliances,Promotion
Flash Sale: 90% Off on Furniture,Promotion
Discover the Newest Trends in Toys,Non-Promotion
Buy 1 Get 1 Free on 48,Promotion
Beauty Products Now Available Online,Non-Promotion
Limited Time Offer: Save 40% on Fashion,Promotion
Latest in Appliances Just for You,Non-Promotion
Flash Sale: 21% Off on Shoes,Promotion
Toys Trends You’ll Love,Non-Promotion
Exclusive Deal: 82% Off on Furniture,Promotion
Latest in Toys Just for You,Non-Promotion
Browse Our Beauty Products Catalog,Non-Promotion
Flash Sale: 66% Off on Toys,Promotion
Mega Sale: 31% Off,Promotion
Buy 1 Get 1 Free on 46,Promotion
Buy 1 Get 1 Free on 81,Promotion
Explore the Latest Mobiles Collection,Non-Promotion
Exclusive Deal: 42% Off on Laptops,Promotion
New Arrivals in Fashion,Non-Promotion
Fresh Styles in Books,Non-Promotion
Browse Our Appliances Catalog,Non-Promotion
Mobiles Now Available Online,Non-Promotion
Toys Now Available Online,Non-Promotion
Discover the Newest Trends in Home Decor,Non-Promotion
Browse Our Beauty Products Catalog,Non-Promotion
Deal of the Day: 81% Off on Furniture,Promotion
New Arrivals in Electronics,Non-Promotion
Introducing Our New Beauty Products Line,Non-Promotion
Special Offer: Buy 14 and Get Electronics Free,Promotion
Browse Our Appliances Catalog,Non-Promotion
Flat 66% Off on Books,Promotion
Discover the Newest Trends in Books,Non-Promotion
Mega Sale: 57% Off,Promotion
Save Big: Up to 83% Off on Home Decor,Promotion
Latest in Beauty Products Just for You,Non-Promotion
Buy 1 Get 1 Free on 47,Promotion
Flash Sale: 75% Off on Beauty Products,Promotion
Discover the Newest Trends in Appliances,Non-Promotion
Mega Sale: 15% Off,Promotion
Limited Time Offer: Save 17% on Toys,Promotion
New Arrivals in Toys,Non-Promotion
64% Discount on Shoes,Promotion
Books Now Available Online,Non-Promotion
Buy 1 Get 1 Free on 43,Promotion
Exclusive Deal: 52% Off on Appliances,Promotion
Top Picks in Books for You,Non-Promotion
Latest in Furniture Just for You,Non-Promotion
Deal of the Day: 33% Off on Electronics,Promotion
Mega Sale: 83% Off,Promotion
Save Big: Up to 50% Off on Toys,Promotion
Deal of the Day: 68% Off on Shoes,Promotion
Exclusive Deal: 80% Off on Toys,Promotion
Browse Our Laptops Catalog,Non-Promotion
Fresh Styles in Furniture,Non-Promotion
Exclusive Deal: 43% Off on Appliances,Promotion
Top Picks in Laptops for You,Non-Promotion
Exclusive Deal: 77% Off on Fashion,Promotion
Introducing Our New Laptops Line,Non-Promotion
New Arrivals in Toys,Non-Promotion
Appliances Trends You’ll Love,Non-Promotion
Fresh Styles in Shoes,Non-Promotion
Introducing Our New Beauty Products Line,Non-Promotion
Exclusive Deal: 51% Off on Furniture,Promotion
Deal of the Day: 70% Off on Mobiles,Promotion
New Arrivals in Electronics,Non-Promotion
Toys Now Available Online,Non-Promotion
Exclusive Deal: 68% Off on Furniture,Promotion
Browse Our Furniture Catalog,Non-Promotion
Electronics Now Available Online,Non-Promotion
Deal of the Day: 15% Off on Laptops,Promotion
Flat 18% Off on Fashion,Promotion
Explore the Latest Electronics Collection,Non-Promotion
Save Big: Up to 89% Off on Fashion,Promotion
Buy 1 Get 1 Free on 30,Promotion
Shoes Now Available Online,Non-Promotion
Top Picks in Toys for You,Non-Promotion
Deal of the Day: 60% Off on Appliances,Promotion
Browse Our Furniture Catalog,Non-Promotion
Discover the Newest Trends in Fashion,Non-Promotion
Buy 1 Get 1 Free on 57,Promotion
Flash Sale: 37% Off on Laptops,Promotion
Fresh Styles in Books,Non-Promotion
Top Picks in Electronics for You,Non-Promotion
Deal of the Day: 44% Off on Laptops,Promotion
Top Picks in Mobiles for You,Non-Promotion
Laptops Trends You’ll Love,Non-Promotion
Limited Time Offer: Save 10% on Laptops,Promotion
Special Offer: Buy 68 and Get Electronics Free,Promotion
Discover the Newest Trends in Shoes,Non-Promotion
Save Big: Up to 55% Off on Laptops,Promotion
Home Decor Trends You’ll Love,Non-Promotion
Limited Time Offer: Save 27% on Books,Promotion
Special Offer: Buy 59 and Get Beauty Products Free,Promotion
Top Picks in Appliances for You,Non-Promotion
Top Picks in Beauty Products for You,Non-Promotion
Electronics Trends You’ll Love,Non-Promotion
Exclusive Deal: 30% Off on Fashion,Promotion
Top Picks in Electronics for You,Non-Promotion
43% Discount on Mobiles,Promotion
Latest in Home Decor Just for You,Non-Promotion
52% Discount on Laptops,Promotion
Save Big: Up to 69% Off on Electronics,Promotion
Save Big: Up to 31% Off on Beauty Products,Promotion
Fresh Styles in Fashion,Non-Promotion
Electronics Now Available Online,Non-Promotion
Limited Time Offer: Save 53% on Toys,Promotion
Introducing Our New Appliances Line,Non-Promotion
Deal of the Day: 41% Off on Electronics,Promotion
Fresh Styles in Shoes,Non-Promotion
Limited Time Offer: Save 84% on Appliances,Promotion
Limited Time Offer: Save 54% on Appliances,Promotion
Deal of the Day: 35% Off on Fashion,Promotion
Browse Our Fashion Catalog,Non-Promotion
Fresh Styles in Mobiles,Non-Promotion
Furniture Now Available Online,Non-Promotion
Discover the Newest Trends in Home Decor,Non-Promotion
Browse Our Shoes Catalog,Non-Promotion
Exclusive Deal: 39% Off on Furniture,Promotion
Top Picks in Shoes for You,Non-Promotion
62% Discount on Laptops,Promotion
Flash Sale: 12% Off on Home Decor,Promotion
Top Picks in Shoes for You,Non-Promotion
Limited Time Offer: Save 58% on Mobiles,Promotion
Explore the Latest Appliances Collection,Non-Promotion
Buy 1 Get 1 Free on 11,Promotion
Deal of the Day: 25% Off on Shoes,Promotion
New Arrivals in Mobiles,Non-Promotion
Limited Time Offer: Save 77% on Electronics,Promotion
Mega Sale: 66% Off,Promotion
Flash Sale: 78% Off on Books,Promotion
New Arrivals in Home Decor,Non-Promotion
Browse Our Fashion Catalog,Non-Promotion
New Arrivals in Home Decor,Non-Promotion
New Arrivals in Toys,Non-Promotion
Save Big: Up to 71% Off on Furniture,Promotion
Browse Our Furniture Catalog,Non-Promotion
Explore the Latest Shoes Collection,Non-Promotion
Flat 63% Off on Books,Promotion
Special Offer: Buy 85 and Get Mobiles Free,Promotion
Flash Sale: 50% Off on Toys,Promotion
Special Offer: Buy 87 and Get Appliances Free,Promotion
Special Offer: Buy 26 and Get Appliances Free,Promotion
Deal of the Day: 63% Off on Beauty Products,Promotion
Explore the Latest Toys Collection,Non-Promotion
New Arrivals in Fashion,Non-Promotion
Deal of the Day: 58% Off on Shoes,Promotion
Mega Sale: 50% Off,Promotion
Buy 1 Get 1 Free on 25,Promotion
Limited Time Offer: Save 87% on Shoes,Promotion
19% Discount on Laptops,Promotion
64% Discount on Furniture,Promotion
Flat 25% Off on Electronics,Promotion
26% Discount on Toys,Promotion
Introducing Our New Books Line,Non-Promotion
Flat 81% Off on Home Decor,Promotion
New Arrivals in Fashion,Non-Promotion
Top Picks in Toys for You,Non-Promotion
Top Picks in Laptops for You,Non-Promotion
Latest in Books Just for You,Non-Promotion
Buy 1 Get 1 Free on 83,Promotion
Fresh Styles in Beauty Products,Non-Promotion
Discover the Newest Trends in Fashion,Non-Promotion
Browse Our Fashion Catalog,Non-Promotion
Fresh Styles in Fashion,Non-Promotion
Browse Our Beauty Products Catalog,Non-Promotion
Deal of the Day: 85% Off on Toys,Promotion
